"Year","OM","Total Divers","# Air Dives","# Air Divers","Air Dive Time (min)","# MIxed Gas Dives","# Mixed Gas Divers","Mixed Gas Time (mins)","# Nitrox Dives","# Nitrox Divers","Nitrox Dive Time (min)","ContactKey","# Hookah Dives","# Hookah Divers","Hookah Dive Time (min)","# Open Circuit Dives","# Open Circuit Divers","Open Circuit Dive Time (min)","# Rebreather Dives","# Rebreather Divers","Rebreather Dive Time (min)","# Surface Supplied Dives","# Surface Supplied Divers","Surface Supplied Dive Time (min)","# Computer Dives","# Computer Divers","Computer Dive Time (min)","# Software Dives","# Software Divers","Software Dive Time (min)","# Table Dives","# Table Divers","Table Dive Time (min)","# 0-30ft Dives","# 0-30ft Divers","#31-60ft Dives","#31-60ft Divers","#61-100ft Dives","#61-100ft Divers","# 101-130ft Dives","# 101-130ft Divers","# 131-150ft Dives","#131-150ft Divers","# 151-190ft Dives","#151-190ft Divers","# 191+ft Dives","# 191+ft Divers","# Science Dives","# Science Divers","Science Dive Time (min)","#T/P Dives","# T/P Divers","T/P Dive Time (min)","# Aquarium Dives","# Aquarium Divers","Aquarium Dive Time (min)","# Bluewater Dives","# Bluewater Divers","Blue Water Dive Time (min)","# IcePolar Dives","# IcePolar Divers","IcePolar Dive Time (min)","# Overhead Dives","# Overhead Divers","Overhead Dive Time (min)","# ReqDecomp Dives","# ReqDecomp Divers","ReqDecomp Dive Time (min)","# Sat Dives","# Sat Divers","Sat Dive Time (min)","Total  Dive Incidents"
"2012","Alaska SeaLife Center","25","486","25","19280","0","0","0","0","0","0","24863","0","0","0","482","25","19072","0","0","0","4","1","208","217","12","8363","0","0","0","269","20","10917","427","25","22","9","36","8","1","1","0","0","0","0","0","0","447","24","18171","39","10","1109","364","23","15143","0","0","0","10","1","413","1","1","28","0","0","0","0","0","0","0"
"2013","Alaska SeaLife Center","21","419","21","18903","0","0","0","0","0","0","24863","0","0","0","402","21","17922","0","0","0","17","2","981","131","20","5695","0","0","0","288","10","13208","393","21","19","7","7","5","0","0","0","0","0","0","0","0","377","21","17168","42","12","1735","374","18","16917","15","1","930","8","1","262","0","0","0","0","0","0","0","0","0","0"
"2014","Alaska SeaLife Center","20","539","20","23228","0","0","0","0","0","0","24863","0","0","0","539","20","23228","0","0","0","0","0","0","196","4","6933","0","0","0","343","18","16295","478","20","52","10","9","2","0","0","0","0","0","0","0","0","513","19","22534","26","9","694","396","18","18835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Alaska SeaLife Center","22","469","22","22683","0","0","0","0","0","0","24863","0","0","0","469","22","22683","0","0","0","0","0","0","116","12","5210","0","0","0","353","20","17473","429","22","36","12","4","2","0","0","0","0","0","0","0","0","433","22","21457","36","10","1226","421","20","20971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Alaska SeaLife Center","22","416","22","20011","0","0","0","0","0","0","24863","0","0","0","416","22","20011","0","0","0","0","0","0","64","8","3008","0","0","0","352","20","17003","392","22","20","6","4","3","0","0","0","0","0","0","0","0","399","22","19482","17","5","529","345","19","19144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","Alaska SeaLife Center","21","455","21","20612","0","0","0","1","1","57","24863","0","0","0","456","21","20669","0","0","0","0","0","0","67","9","3164","0","0","0","389","20","17505","421","21","31","7","4","3","0","0","0","0","0","0","0","0","424","21","19527","32","9","1142","408","18","18616","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","Alaska SeaLife Center","15","445","15","18728","0","0","0","0","0","0","24863","0","0","0","445","15","18728","0","0","0","0","0","0","35","7","1583","0","0","0","410","15","17145","412","15","29","7","4","2","0","0","0","0","0","0","0","0","443","15","18600","2","2","128","410","15","17145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020","Alaska SeaLife Center","13","380","13","16291","0","0","0","0","0","0","24863","0","0","0","380","13","16291","0","0","0","0","0","0","26","4","1142","0","0","0","354","12","15149","376","13","3","3","1","1","0","0","0","0","0","0","0","0","376","13","16127","4","2","164","376","13","16084","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Alaska SeaLife Center","12","423","12","18447","0","0","0","1","1","60","24863","0","0","0","424","12","18507","0","0","0","0","0","0","50","6","2330","0","0","0","374","10","16177","408","12","13","4","3","2","0","0","0","0","0","0","0","0","404","11","17704","20","4","803","405","12","17705","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022","Alaska SeaLife Center","19","434","19","17622","0","0","0","0","0","0","24863","0","0","0","434","19","17622","0","0","0","0","0","0","78","7","3024","0","0","0","356","16","14598","426","19","4","2","4","3","0","0","0","0","0","0","0","0","392","13","16267","42","13","1355","424","19","17220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023","Alaska SeaLife Center","20","487","20","21576","0","0","0","1","1","57","24863","0","0","0","488","20","21633","0","0","0","0","0","0","186","12","8480","0","0","0","302","16","13153","456","20","21","8","10","3","1","1","0","0","0","0","0","0","426","14","19140","62","13","2493","448","20","20092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","Alaska SeaLife Center","23","525","23","24018","0","0","0","0","0","0","24863","0","0","0","525","23","24018","0","0","0","0","0","0","274","18","11981","0","0","0","251","16","12037","476","23","36","12","13","4","0","0","0","0","0","0","0","0","377","19","18365","148","19","5653","443","22","21453","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025","Alaska SeaLife Center","23","448","23","21171","0","0","0","1","1","70","24863","0","0","0","449","23","21241","0","0","0","0","0","0","140","14","6227","0","0","0","309","16","15014","414","22","31","10","4","3","0","0","0","0","0","0","0","0","374","19","17814","75","12","3427","410","22","19923","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
